site,Hydro_Metric,Biol,Threshold,Bio_threshold,Unaltered,Altered
201031,DS_Dur_WS,CSCI,Threshold50,0.92,0,100
201031,DS_Dur_WS,CSCI,Threshold75,0.63,0,100
201031,DS_Dur_WS,CSCI,Threshold75,0.79,0,100
201031,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201031,Q99,ASCI,Threshold25,0.75,100,0
201031,Q99,ASCI,Threshold25,0.86,100,0
201031,Q99,ASCI,Threshold25,0.94,100,0
201031,Q99,ASCI,Threshold50,0.75,100,0
201031,Q99,ASCI,Threshold50,0.86,100,0
201031,Q99,ASCI,Threshold50,0.94,100,0
201031,Q99,ASCI,Threshold75,0.75,100,0
201031,Q99,ASCI,Threshold75,0.86,100,0
201031,Q99,ASCI,Threshold75,0.94,100,0
201031,Q99,CSCI,Threshold25,0.63,100,0
201031,Q99,CSCI,Threshold25,0.79,100,0
201031,Q99,CSCI,Threshold25,0.92,100,0
201031,Q99,CSCI,Threshold50,0.63,100,0
201031,Q99,CSCI,Threshold50,0.79,100,0
201031,Q99,CSCI,Threshold50,0.92,92,8
201031,Q99,CSCI,Threshold75,0.63,100,0
201031,Q99,CSCI,Threshold75,0.79,100,0
201031,Q99,CSCI,Threshold75,0.92,76,24
201031,SP_Dur,ASCI,Threshold25,0.75,50,50
201031,SP_Dur,ASCI,Threshold25,0.86,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold25,0.94,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold50,0.75,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold50,0.86,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold50,0.94,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold75,0.75,33.33333333,66.66666667
201031,SP_Dur,ASCI,Threshold75,0.86,16.66666667,83.33333333
201031,SP_Dur,ASCI,Threshold75,0.94,16.66666667,83.33333333
201031,SP_Tim,CSCI,Threshold25,0.63,100,0
201031,SP_Tim,CSCI,Threshold25,0.79,66.66666667,33.33333333
201031,SP_Tim,CSCI,Threshold25,0.92,50,50
201031,SP_Tim,CSCI,Threshold50,0.63,66.66666667,33.33333333
201031,SP_Tim,CSCI,Threshold50,0.79,50,50
201031,SP_Tim,CSCI,Threshold50,0.92,50,50
201031,SP_Tim,CSCI,Threshold75,0.63,66.66666667,33.33333333
201031,SP_Tim,CSCI,Threshold75,0.79,50,50
201031,SP_Tim,CSCI,Threshold75,0.92,50,50
201040,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201040,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201040,DS_Dur_WS,ASCI,Threshold25,0.94,75,25
201040,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
201040,DS_Dur_WS,ASCI,Threshold50,0.86,91.66666667,8.333333333
201040,DS_Dur_WS,ASCI,Threshold50,0.94,66.66666667,33.33333333
201040,DS_Dur_WS,ASCI,Threshold75,0.75,66.66666667,33.33333333
201040,DS_Dur_WS,ASCI,Threshold75,0.86,58.33333333,41.66666667
201040,DS_Dur_WS,ASCI,Threshold75,0.94,50,50
201040,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201040,DS_Dur_WS,CSCI,Threshold25,0.79,91.66666667,8.333333333
201040,DS_Dur_WS,CSCI,Threshold25,0.92,66.66666667,33.33333333
201040,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201040,DS_Dur_WS,CSCI,Threshold50,0.79,75,25
201040,DS_Dur_WS,CSCI,Threshold50,0.92,58.33333333,41.66666667
