"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"145",301010,"Oso and Small Creeks",NA,2017,"Wet","DS_Dur_WS",296,"original",NA,"original",300,"original",NA,NA
"146",301010,"Oso and Small Creeks",NA,2017,"Wet","SP_Dur",14,"original",10,"original",10,"original",4,0
"147",301010,"Oso and Small Creeks",NA,2017,"Wet","SP_Tim",143,"original",143,"original",143,"original",0,0
"148",301010,"Oso and Small Creeks",NA,2018,"Dry","DS_Dur_WS",91,"original",NA,"original",91,"original",NA,NA
"149",301010,"Oso and Small Creeks",NA,2018,"Dry","SP_Dur",198,"original",NA,"original",198,"original",NA,NA
"150",301010,"Oso and Small Creeks",NA,2018,"Dry","SP_Tim",164,"original",NA,"original",164,"original",NA,NA
"151",301011,"Oso and Small Creeks",NA,1994,"Moderate","DS_Dur_WS",198,"original",NA,"original",217,"original",NA,NA
"152",301011,"Oso and Small Creeks",NA,1994,"Moderate","SP_Dur",34,"original",NA,"original",16,"original",NA,NA
"153",301011,"Oso and Small Creeks",NA,1994,"Moderate","SP_Tim",211,"original",NA,"original",211,"original",NA,NA
"154",301011,"Oso and Small Creeks",NA,1995,"Wet","DS_Dur_WS",197,"original",NA,"original",194,"original",NA,NA
"155",301011,"Oso and Small Creeks",NA,1995,"Wet","SP_Dur",15,"original",89,"original",17,"original",-74,-72
"156",301011,"Oso and Small Creeks",NA,1995,"Wet","SP_Tim",203,"original",165,"original",203,"original",38,38
"157",301011,"Oso and Small Creeks",NA,1996,"Moderate","DS_Dur_WS",177,"original",NA,"original",179,"original",NA,NA
"158",301011,"Oso and Small Creeks",NA,1996,"Moderate","SP_Dur",38,"original",NA,"original",36,"original",NA,NA
"159",301011,"Oso and Small Creeks",NA,1996,"Moderate","SP_Tim",168,"original",NA,"original",168,"original",NA,NA
"160",301011,"Oso and Small Creeks",NA,1997,"Moderate","DS_Dur_WS",287,"original",242,"original",285,"original",45,43
"161",301011,"Oso and Small Creeks",NA,1997,"Moderate","SP_Dur",9,"original",59,"original",9,"original",-50,-50
"162",301011,"Oso and Small Creeks",NA,1997,"Moderate","SP_Tim",121,"original",121,"original",121,"original",0,0
"163",301011,"Oso and Small Creeks",NA,1998,"Wet","DS_Dur_WS",189,"original",NA,"original",189,"original",NA,NA
"164",301011,"Oso and Small Creeks",NA,1998,"Wet","SP_Dur",17,"original",20,"original",17,"original",-3,-3
"165",301011,"Oso and Small Creeks",NA,1998,"Wet","SP_Tim",180,"original",180,"original",180,"original",0,0
"166",301011,"Oso and Small Creeks",NA,1999,"Dry","DS_Dur_WS",253,"original",NA,"original",251,"original",NA,NA
"167",301011,"Oso and Small Creeks",NA,1999,"Dry","SP_Dur",1,"original",NA,"original",2,"original",NA,NA
"168",301011,"Oso and Small Creeks",NA,1999,"Dry","SP_Tim",223,"original",NA,"original",224,"original",NA,NA
"169",301011,"Oso and Small Creeks",NA,2000,"Moderate","DS_Dur_WS",157,"original",NA,"original",142,"original",NA,NA
"170",301011,"Oso and Small Creeks",NA,2000,"Moderate","SP_Dur",11,"original",NA,"original",26,"original",NA,NA
"171",301011,"Oso and Small Creeks",NA,2000,"Moderate","SP_Tim",214,"original",NA,"original",214,"original",NA,NA
"172",301011,"Oso and Small Creeks",NA,2001,"Wet","DS_Dur_WS",168,"original",NA,"original",168,"original",NA,NA
"173",301011,"Oso and Small Creeks",NA,2001,"Wet","SP_Dur",88,"original",143,"original",87,"original",-55,-56
"174",301011,"Oso and Small Creeks",NA,2001,"Wet","SP_Tim",152,"original",152,"original",152,"original",0,0
"175",301011,"Oso and Small Creeks",NA,2002,"Dry","DS_Dur_WS",75,"original",NA,"original",160,"original",NA,NA
"176",301011,"Oso and Small Creeks",NA,2002,"Dry","SP_Dur",238,"original",NA,"original",148,"original",NA,NA
"177",301011,"Oso and Small Creeks",NA,2002,"Dry","SP_Tim",85,"original",NA,"original",85,"original",NA,NA
"178",301011,"Oso and Small Creeks",NA,2003,"Wet","DS_Dur_WS",77,"original",NA,"original",215,"original",NA,NA
"179",301011,"Oso and Small Creeks",NA,2003,"Wet","SP_Dur",163,"original",NA,"original",24,"original",NA,NA
"180",301011,"Oso and Small Creeks",NA,2003,"Wet","SP_Tim",199,"original",NA,"original",199,"original",NA,NA
"181",301011,"Oso and Small Creeks",NA,2004,"Dry","DS_Dur_WS",115,"original",NA,"original",135,"original",NA,NA
"182",301011,"Oso and Small Creeks",NA,2004,"Dry","SP_Dur",109,"original",NA,"original",88,"original",NA,NA
"183",301011,"Oso and Small Creeks",NA,2004,"Dry","SP_Tim",152,"original",NA,"original",152,"original",NA,NA
"184",301011,"Oso and Small Creeks",NA,2005,"Wet","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"185",301011,"Oso and Small Creeks",NA,2005,"Wet","SP_Dur",80,"original",102,"original",80,"original",-22,-22
